"entity_id","sport_code","sport_desc","sport_particip_code","sport_participation_desc","start_dt","stop_dt"
836361,"MARU","Rugby - Men","P","Participated",NULL,NULL
836361,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
836404,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
836404,"WACW","Crew - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
836438,"RSHB","Cal Handball Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
836512,"WACW","Crew - Women","P","Participated",NULL,NULL
836512,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
836525,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
836525,"WAFH","Field Hockey - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
836552,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
836552,"WACW","Crew - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
836669,"RSFC","Cal Fencing Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
836721,"RSBL","Cal Ballroom Dancing Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
836730,"RSAR","Cal Archery Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
836856,"ICA","Intercollegiate Athlete","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
836856,"WAWP","Water Polo - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
836891,"ICA","Intercollegiate Athlete","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
836891,"WAVB","Volleyball - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
836949,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
836949,"WACW","Crew - Women","P","Participated",NULL,NULL
837208,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
837327,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
837327,"MARU","Rugby - Men","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
837340,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
837340,"WACW","Crew - Women","P","Participated",NULL,NULL
837365,"ICA","Intercollegiate Athlete","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
837365,"WACW","Crew - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
837365,"WAGY","Gymnastics - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
837429,"RSTC","Cal Triathlon Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
837461,"ICA","Intercollegiate Athlete","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
837461,"MACC","Crew - Men","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
837520,"RSCY","Cal Cycling Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
837568,"WASO","Soccer - Women","P","Participated","2005-08-01 00:00:00","2009-12-19 00:00:00"
837568,"ICA","Intercollegiate Athlete","P","Participated","2005-08-01 00:00:00","2009-12-19 00:00:00"
837768,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
837768,"WAGY","Gymnastics - Women","P","Participated",NULL,NULL
837866,"MARU","Rugby - Men","P","Participated",NULL,NULL
837866,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
837923,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
837923,"WASW","Swimming & Diving - Women","P","Participated",NULL,NULL
837932,"ICA","Intercollegiate Athlete","P","Participated","2007-08-01 00:00:00","2011-12-16 00:00:00"
837932,"MAFL","Football - Men","P","Participated","2007-08-01 00:00:00","2011-12-16 00:00:00"
838092,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
838092,"WAGO","Golf - Women","P","Participated",NULL,NULL
838094,"RSCY","Cal Cycling Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
838107,"WACW","Crew - Women","P","Participated",NULL,NULL
838107,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
838129,"RSAR","Cal Archery Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
838163,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
838163,"WASW","Swimming & Diving - Women","P","Participated","2005-08-01 00:00:00","2009-12-19 00:00:00"
838282,"RSIH","Cal Ice Hockey Club","P","Participated","2005-08-01 00:00:00","2009-05-31 00:00:00"
838312,"RSCY","Cal Cycling Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
838403,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
838403,"MACC","Crew - Men","P","Participated",NULL,NULL
838606,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
838606,"MACR","Cross Country - Men","P","Participated",NULL,NULL
838606,"MATL","Track & Field - Men","P","Participated",NULL,NULL
838671,"RSAR","Cal Archery Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
838712,"RSBX","Cal Boxing Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
839209,"RSCY","Cal Cycling Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
839272,"RSWP","Cal Waterpolo Club","P","Participated",NULL,NULL
839665,"RSAR","Cal Archery Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
839794,"RSSW","Cal Soccer Club - Women","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
839833,"RSTC","Cal Triathlon Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
839962,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
839962,"MARU","Rugby - Men","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
839992,"RSFC","Cal Fencing Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
840117,"RSFC","Cal Fencing Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
840143,"RSBX","Cal Boxing Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
840288,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
840288,"WACW","Crew - Women","P","Participated",NULL,NULL
840459,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
840459,"WALC","Lacrosse - Women","P","Participated",NULL,NULL
840469,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
840469,"MACC","Crew - Men","P","Participated",NULL,NULL
840494,"RSCY","Cal Cycling Club","P","Participated","2003-01-01 00:00:00","2008-12-31 00:00:00"
840535,"RSVB","Cal Volleyball Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
840573,"RSRW","Cal Rugby Club - Women","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
840590,"ICA","Intercollegiate Athlete","P","Participated","2002-08-01 00:00:00","2006-05-19 00:00:00"
840590,"MAFL","Football - Men","P","Participated","2002-08-01 00:00:00","2006-05-19 00:00:00"
840621,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
840621,"WASW","Swimming & Diving - Women","P","Participated",NULL,NULL
840879,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
840879,"WACW","Crew - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
