"entity_id","awd_honor_code","awd_honor_desc","awd_honor_dt"
124860,"RSA","Regents' Scholar-Aid Recipient",NULL
124860,"PBK","Phi Beta Kappa",NULL
124862,"PBK","Phi Beta Kappa",NULL
124981,"PBK","Phi Beta Kappa",NULL
125013,"PBK","Phi Beta Kappa",NULL
125027,"PBK","Phi Beta Kappa",NULL
125055,"PBK","Phi Beta Kappa",NULL
125067,"PBK","Phi Beta Kappa",NULL
125067,"OTH","Other Award","2015-03-27 00:00:00"
125075,"CAL","CAA Leadership Award Scholar",NULL
125151,"CAL","CAA Leadership Award Scholar",NULL
125158,"CAL","CAA Leadership Award Scholar",NULL
125161,"PBK","Phi Beta Kappa",NULL
125163,"PBK","Phi Beta Kappa",NULL
125171,"PBK","Phi Beta Kappa",NULL
125217,"CAA","Alumnus/a of the Year Award",NULL
125434,"PBK","Phi Beta Kappa",NULL
125518,"CAL","CAA Leadership Award Scholar",NULL
125531,"PBK","Phi Beta Kappa",NULL
125561,"CAL","CAA Leadership Award Scholar",NULL
125564,"PBK","Phi Beta Kappa",NULL
125832,"PBK","Phi Beta Kappa",NULL
125844,"CAL","CAA Leadership Award Scholar",NULL
125889,"CAL","CAA Leadership Award Scholar",NULL
125890,"PBK","Phi Beta Kappa",NULL
125917,"PBK","Phi Beta Kappa",NULL
125918,"CAL","CAA Leadership Award Scholar",NULL
125965,"BUR","Raymond E Miles Award","2007-07-01 00:00:00"
125998,"CAL","CAA Leadership Award Scholar",NULL
125999,"PBK","Phi Beta Kappa",NULL
126002,"CAL","CAA Leadership Award Scholar",NULL
126013,"PBK","Phi Beta Kappa",NULL
126015,"PBK","Phi Beta Kappa",NULL
126021,"PBK","Phi Beta Kappa",NULL
126029,"PBK","Phi Beta Kappa",NULL
126032,"CAL","CAA Leadership Award Scholar",NULL
126105,"PBK","Phi Beta Kappa",NULL
126124,"PBK","Phi Beta Kappa",NULL
126210,"CAL","CAA Leadership Award Scholar",NULL
126220,"PBK","Phi Beta Kappa",NULL
126244,"PBK","Phi Beta Kappa",NULL
126255,"PBK","Phi Beta Kappa",NULL
126255,"CAL","CAA Leadership Award Scholar",NULL
126398,"CAL","CAA Leadership Award Scholar",NULL
126516,"CAL","CAA Leadership Award Scholar",NULL
126519,"RSA","Regents' Scholar-Aid Recipient",NULL
126521,"PBK","Phi Beta Kappa",NULL
126585,"PBK","Phi Beta Kappa",NULL
126642,"PBK","Phi Beta Kappa",NULL
126674,"CAL","CAA Leadership Award Scholar",NULL
126719,"CAL","CAA Leadership Award Scholar",NULL
126764,"RSA","Regents' Scholar-Aid Recipient",NULL
126779,"CAL","CAA Leadership Award Scholar",NULL
126812,"PBK","Phi Beta Kappa",NULL
126837,"CAL","CAA Leadership Award Scholar",NULL
126867,"PBK","Phi Beta Kappa",NULL
126887,"PBK","Phi Beta Kappa",NULL
126952,"PBK","Phi Beta Kappa",NULL
126955,"PBK","Phi Beta Kappa",NULL
126955,"CAL","CAA Leadership Award Scholar",NULL
127008,"PBK","Phi Beta Kappa",NULL
127016,"PBK","Phi Beta Kappa",NULL
127033,"PBK","Phi Beta Kappa",NULL
127049,"CAL","CAA Leadership Award Scholar",NULL
127054,"PBK","Phi Beta Kappa",NULL
127082,"RSA","Regents' Scholar-Aid Recipient",NULL
127084,"PBK","Phi Beta Kappa",NULL
127145,"PBK","Phi Beta Kappa",NULL
127145,"CAL","CAA Leadership Award Scholar",NULL
127160,"PBK","Phi Beta Kappa",NULL
127237,"CAL","CAA Leadership Award Scholar",NULL
127281,"RSH","Regents' Scholar-Honorarium Recipnt",NULL
127281,"PBK","Phi Beta Kappa",NULL
127283,"PBK","Phi Beta Kappa",NULL
127295,"CAL","CAA Leadership Award Scholar",NULL
127327,"WCE","Wiskocil Award in Civil Engineering","1971-01-01 00:00:00"
127379,"CAL","CAA Leadership Award Scholar",NULL
127453,"PBK","Phi Beta Kappa",NULL
127469,"CAL","CAA Leadership Award Scholar",NULL
127490,"CAL","CAA Leadership Award Scholar",NULL
127506,"PBK","Phi Beta Kappa",NULL
127533,"CAL","CAA Leadership Award Scholar",NULL
127567,"RSH","Regents' Scholar-Honorarium Recipnt",NULL
127570,"PBK","Phi Beta Kappa",NULL
127579,"PBK","Phi Beta Kappa",NULL
127588,"CAL","CAA Leadership Award Scholar",NULL
127598,"PBK","Phi Beta Kappa",NULL
127663,"PBK","Phi Beta Kappa",NULL
127677,"PBK","Phi Beta Kappa",NULL
127699,"PBK","Phi Beta Kappa",NULL
127789,"PBK","Phi Beta Kappa",NULL
127796,"PBK","Phi Beta Kappa",NULL
127832,"PBK","Phi Beta Kappa",NULL
127908,"CAL","CAA Leadership Award Scholar",NULL
127953,"PBK","Phi Beta Kappa",NULL
128005,"PBK","Phi Beta Kappa",NULL
128020,"PBK","Phi Beta Kappa",NULL
128118,"PBK","Phi Beta Kappa",NULL
128137,"PBK","Phi Beta Kappa",NULL
128268,"PBK","Phi Beta Kappa",NULL
128271,"PBK","Phi Beta Kappa",NULL
128287,"PBK","Phi Beta Kappa",NULL
128316,"PBK","Phi Beta Kappa",NULL
128326,"PBK","Phi Beta Kappa",NULL
128446,"PBK","Phi Beta Kappa",NULL
128450,"PBK","Phi Beta Kappa",NULL
128480,"CAL","CAA Leadership Award Scholar",NULL
128481,"RSH","Regents' Scholar-Honorarium Recipnt",NULL
128481,"PBK","Phi Beta Kappa",NULL
128494,"CA1","CAA Rosalie M. Stern Award",NULL
128543,"PBK","Phi Beta Kappa",NULL
128577,"CAL","CAA Leadership Award Scholar",NULL
128584,"PBK","Phi Beta Kappa",NULL
128617,"CAL","CAA Leadership Award Scholar",NULL
128618,"PBK","Phi Beta Kappa",NULL
128650,"PBK","Phi Beta Kappa",NULL
128650,"CAL","CAA Leadership Award Scholar",NULL
