"entity_id","awd_honor_code","awd_honor_desc","awd_honor_dt"
128713,"PBK","Phi Beta Kappa",NULL
128725,"PBK","Phi Beta Kappa",NULL
128960,"PBK","Phi Beta Kappa",NULL
128970,"PBK","Phi Beta Kappa",NULL
128984,"PBK","Phi Beta Kappa",NULL
128990,"PBK","Phi Beta Kappa",NULL
128990,"CAL","CAA Leadership Award Scholar",NULL
129019,"RSH","Regents' Scholar-Honorarium Recipnt",NULL
129019,"PBK","Phi Beta Kappa",NULL
129039,"PBK","Phi Beta Kappa",NULL
129039,"CA2","CAA Rosalie M. Stern Cont Ed Award",NULL
129040,"OTH","Other Award","2012-03-20 00:00:00"
129068,"PBK","Phi Beta Kappa",NULL
129088,"CAL","CAA Leadership Award Scholar",NULL
129185,"CAL","CAA Leadership Award Scholar",NULL
129201,"PBK","Phi Beta Kappa",NULL
129206,"PBK","Phi Beta Kappa",NULL
129223,"PBK","Phi Beta Kappa",NULL
129386,"PBK","Phi Beta Kappa",NULL
129389,"PBK","Phi Beta Kappa",NULL
129770,"PBK","Phi Beta Kappa",NULL
129778,"PBK","Phi Beta Kappa",NULL
129828,"BCA","Berkeley Citation Award",NULL
129832,"PBK","Phi Beta Kappa",NULL
129873,"LWO","Order of the Coif","2016-10-11 00:00:00"
129922,"CAL","CAA Leadership Award Scholar",NULL
129928,"PBK","Phi Beta Kappa",NULL
129957,"LWO","Order of the Coif","2016-10-11 00:00:00"
129959,"BLA","Best Lawyers in America","2016-01-01 00:00:00"
129960,"LWC","Boalt Law School Citation Award","2008-01-01 00:00:00"
129960,"LDS","BerkeleyLaw Distinguished Service Award","1996-01-01 00:00:00"
129960,"NCL","Top 100 No. California Super Lawyers","2017-01-01 00:00:00"
129960,"NCW","Top 50 Women No. Calif. Super Lawyers","2017-01-01 00:00:00"
130100,"PBK","Phi Beta Kappa",NULL
130113,"PBK","Phi Beta Kappa",NULL
130128,"CAL","CAA Leadership Award Scholar",NULL
130136,"PBK","Phi Beta Kappa",NULL
130257,"CAL","CAA Leadership Award Scholar",NULL
130294,"PBK","Phi Beta Kappa",NULL
130296,"PBK","Phi Beta Kappa",NULL
130306,"CA1","CAA Rosalie M. Stern Award",NULL
130316,"PBK","Phi Beta Kappa",NULL
130384,"PBK","Phi Beta Kappa",NULL
130418,"CAL","CAA Leadership Award Scholar",NULL
130421,"CAL","CAA Leadership Award Scholar",NULL
130439,"RSH","Regents' Scholar-Honorarium Recipnt",NULL
130466,"RSA","Regents' Scholar-Aid Recipient",NULL
130466,"PBK","Phi Beta Kappa",NULL
130496,"PBK","Phi Beta Kappa",NULL
130507,"PBK","Phi Beta Kappa",NULL
130508,"CAL","CAA Leadership Award Scholar",NULL
130511,"PBK","Phi Beta Kappa",NULL
